threshold,precision,recall,f1
0.5715569853782654,0.0,0.0,0.0
0.5715569257736206,0.7222222222222222,0.038348082595870206,0.07282913165266107
0.571399450302124,0.6666666666666666,0.04129793510324484,0.07777777777777777
0.5712774395942688,0.6363636363636364,0.04129793510324484,0.07756232686980609
0.5712609887123108,0.6521739130434783,0.04424778761061947,0.08287292817679559
0.5712379217147827,0.6666666666666666,0.0471976401179941,0.08815426997245178
0.5712130665779114,0.64,0.0471976401179941,0.08791208791208792
0.57114577293396,0.6538461538461539,0.05014749262536873,0.09315068493150684
0.5709848403930664,0.6666666666666666,0.05309734513274336,0.09836065573770493
0.5709824562072754,0.6428571428571429,0.05309734513274336,0.09809264305177114
0.5709415674209595,0.6206896551724138,0.05309734513274336,0.09782608695652174
0.5709372162818909,0.6333333333333333,0.05604719764011799,0.1029810298102981
0.5709168314933777,0.6451612903225806,0.058997050147492625,0.1081081081081081
0.570914089679718,0.625,0.058997050147492625,0.1078167115902965
0.5709006190299988,0.6363636363636364,0.061946902654867256,0.11290322580645161
0.5708578824996948,0.6470588235294118,0.06489675516224189,0.11796246648793565
0.5707706212997437,0.6285714285714286,0.06489675516224189,0.11764705882352941
0.5707334280014038,0.6388888888888888,0.06784660766961652,0.12266666666666667
0.5707230567932129,0.6216216216216216,0.06784660766961652,0.1223404255319149
0.5706831216812134,0.631578947368421,0.07079646017699115,0.1273209549071618
0.570603609085083,0.6153846153846154,0.07079646017699115,0.12698412698412698
0.5704296827316284,0.6,0.07079646017699115,0.1266490765171504
0.5704260468482971,0.6097560975609756,0.07374631268436578,0.13157894736842105
0.5703954100608826,0.5952380952380952,0.07374631268436578,0.13123359580052493
0.5702972412109375,0.6046511627906976,0.07669616519174041,0.13612565445026178
0.5702791810035706,0.6136363636363636,0.07964601769911504,0.14099216710182766
0.57026606798172,0.6222222222222222,0.08259587020648967,0.14583333333333331
0.570210874080658,0.6086956521739131,0.08259587020648967,0.14545454545454545
0.5701988339424133,0.6170212765957447,0.0855457227138643,0.15025906735751296
0.5701987743377686,0.625,0.08849557522123894,0.15503875968992248
0.5701380968093872,0.6326530612244898,0.09144542772861357,0.1597938144329897
0.5701189637184143,0.62,0.09144542772861357,0.15938303341902316
0.570088803768158,0.6078431372549019,0.09144542772861357,0.158974358974359
0.5700781941413879,0.6153846153846154,0.0943952802359882,0.1636828644501279
0.5700491070747375,0.6037735849056604,0.0943952802359882,0.163265306122449
0.570004940032959,0.5925925925925926,0.0943952802359882,0.1628498727735369
0.5699906945228577,0.6,0.09734513274336283,0.16751269035532995
0.5699068903923035,0.5892857142857143,0.09734513274336283,0.16708860759493668
0.5699037909507751,0.5789473684210527,0.09734513274336283,0.16666666666666666
0.5699031949043274,0.5689655172413793,0.09734513274336283,0.16624685138539042
0.5698893070220947,0.559322033898305,0.09734513274336283,0.1658291457286432
0.5698593854904175,0.55,0.09734513274336283,0.16541353383458646
0.5697962641716003,0.5573770491803278,0.10029498525073746,0.17
0.5697494745254517,0.5483870967741935,0.10029498525073746,0.16957605985037408
0.5697213411331177,0.5396825396825397,0.10029498525073746,0.1691542288557214
0.5697104334831238,0.546875,0.10324483775811209,0.173697270471464
0.569696843624115,0.5538461538461539,0.10619469026548672,0.17821782178217824
0.5696501135826111,0.5454545454545454,0.10619469026548672,0.17777777777777778
0.5696494579315186,0.5522388059701493,0.10914454277286136,0.18226600985221675
0.5696095824241638,0.5441176470588235,0.10914454277286136,0.18181818181818182
0.569589376449585,0.5507246376811594,0.11209439528023599,0.18627450980392157
0.569492518901825,0.5571428571428572,0.11504424778761062,0.19070904645476774
0.5694584250450134,0.5492957746478874,0.11504424778761062,0.19024390243902442
0.5694392919540405,0.5555555555555556,0.11799410029498525,0.19464720194647203
0.5694061517715454,0.547945205479452,0.11799410029498525,0.1941747572815534
0.5693874955177307,0.5405405405405406,0.11799410029498525,0.1937046004842615
0.5693771243095398,0.5333333333333333,0.11799410029498525,0.19323671497584544
0.5693721771240234,0.5263157894736842,0.11799410029498525,0.19277108433734938
0.5693674683570862,0.5194805194805194,0.11799410029498525,0.1923076923076923
0.5693140625953674,0.5256410256410257,0.12094395280235988,0.19664268585131892
0.5692795515060425,0.5316455696202531,0.12389380530973451,0.20095693779904308
0.5691923499107361,0.5375,0.12684365781710916,0.20525059665871123
0.5691786408424377,0.5308641975308642,0.12684365781710916,0.20476190476190478
0.5691632628440857,0.524390243902439,0.12684365781710916,0.20427553444180527
0.5691535472869873,0.5180722891566265,0.12684365781710916,0.20379146919431282
0.5691185593605042,0.5238095238095238,0.12979351032448377,0.20803782505910168
0.569086492061615,0.5176470588235295,0.12979351032448377,0.20754716981132076
0.5690593123435974,0.5232558139534884,0.13274336283185842,0.21176470588235294
0.5689476132392883,0.5287356321839081,0.13569321533923304,0.215962441314554
0.5688599944114685,0.5227272727272727,0.13569321533923304,0.2154566744730679
0.5688356757164001,0.5280898876404494,0.13864306784660768,0.21962616822429906
0.5688347220420837,0.5222222222222223,0.13864306784660768,0.21911421911421913
0.568809986114502,0.5164835164835165,0.13864306784660768,0.21860465116279074
0.5687246322631836,0.5217391304347826,0.1415929203539823,0.22273781902552206
0.5687117576599121,0.5161290322580645,0.1415929203539823,0.2222222222222222
0.5686983466148376,0.5106382978723404,0.1415929203539823,0.22170900692840645
0.5686834454536438,0.5157894736842106,0.14454277286135694,0.22580645161290325
0.5686049461364746,0.5104166666666666,0.14454277286135694,0.22528735632183908
0.5684776306152344,0.5051546391752577,0.14454277286135694,0.22477064220183485
0.5683751702308655,0.5,0.14454277286135694,0.2242562929061785
0.5683599710464478,0.494949494949495,0.14454277286135694,0.22374429223744294
0.5683340430259705,0.49,0.14454277286135694,0.22323462414578588
0.56827712059021,0.48514851485148514,0.14454277286135694,0.22272727272727272
0.5682637691497803,0.4803921568627451,0.14454277286135694,0.22222222222222227
0.5682321786880493,0.47572815533980584,0.14454277286135694,0.22171945701357465
0.5682072043418884,0.47115384615384615,0.14454277286135694,0.22121896162528215
0.5681555271148682,0.47619047619047616,0.14749262536873156,0.22522522522522523
0.5681096911430359,0.4811320754716981,0.1504424778761062,0.22921348314606743
0.5680879354476929,0.4766355140186916,0.1504424778761062,0.22869955156950678
0.5680875778198242,0.4722222222222222,0.1504424778761062,0.22818791946308728
0.5680639743804932,0.46788990825688076,0.1504424778761062,0.22767857142857145
0.5680590867996216,0.4636363636363636,0.1504424778761062,0.2271714922048998
0.5680291056632996,0.46846846846846846,0.15339233038348082,0.23111111111111107
0.5680167078971863,0.4732142857142857,0.15634218289085547,0.23503325942350334
0.5680069923400879,0.4690265486725664,0.15634218289085547,0.2345132743362832
0.568000078201294,0.4649122807017544,0.15634218289085547,0.2339955849889625
0.5679988265037537,0.4608695652173913,0.15634218289085547,0.23348017621145375
0.5679783821105957,0.46551724137931033,0.1592920353982301,0.23736263736263738
0.5679653286933899,0.4700854700854701,0.16224188790560473,0.2412280701754386
0.5679226517677307,0.4745762711864407,0.16519174041297935,0.2450765864332604
0.5678574442863464,0.47058823529411764,0.16519174041297935,0.2445414847161572
0.567854106426239,0.4666666666666667,0.16519174041297935,0.2440087145969499
0.5678443908691406,0.47107438016528924,0.168141592920354,0.24782608695652175
0.5677294731140137,0.47540983606557374,0.1710914454277286,0.2516268980477223
0.5677016973495483,0.4715447154471545,0.1710914454277286,0.25108225108225113
0.5676973462104797,0.47580645161290325,0.17404129793510326,0.2548596112311015
0.5676578879356384,0.472,0.17404129793510326,0.2543103448275862
0.5675732493400574,0.46825396825396826,0.17404129793510326,0.2537634408602151
0.567428469657898,0.47244094488188976,0.17699115044247787,0.2575107296137339
0.567406177520752,0.4765625,0.17994100294985252,0.2612419700214133
0.5673074126243591,0.4728682170542636,0.17994100294985252,0.2606837606837607
0.5672962665557861,0.47692307692307695,0.18289085545722714,0.2643923240938167
0.5672083497047424,0.4732824427480916,0.18289085545722714,0.26382978723404255
0.567203938961029,0.4696969696969697,0.18289085545722714,0.2632696390658174
0.5671975016593933,0.47368421052631576,0.18584070796460178,0.2669491525423729
0.5671908855438232,0.4701492537313433,0.18584070796460178,0.266384778012685
0.567188024520874,0.4666666666666667,0.18584070796460178,0.2658227848101266
0.5671607255935669,0.47058823529411764,0.1887905604719764,0.2694736842105263
0.5671594142913818,0.4744525547445255,0.19174041297935104,0.27310924369747897
0.5671563744544983,0.4782608695652174,0.19469026548672566,0.27672955974842767
0.5671341419219971,0.4748201438848921,0.19469026548672566,0.27615062761506276
0.5671229958534241,0.4714285714285714,0.19469026548672566,0.2755741127348643
