threshold,precision,recall,f1
0.5715569853782654,0.0,0.0,0.0
0.5715569257736206,0.8333333333333334,0.028735632183908046,0.05555555555555555
0.571399450302124,0.7619047619047619,0.03065134099616858,0.05893186003683241
0.5712774395942688,0.7272727272727273,0.03065134099616858,0.058823529411764705
0.5712609887123108,0.7391304347826086,0.032567049808429116,0.06238532110091742
0.5712379217147827,0.75,0.034482758620689655,0.06593406593406594
0.5712130665779114,0.72,0.034482758620689655,0.06581352833638025
0.57114577293396,0.7307692307692307,0.03639846743295019,0.06934306569343067
0.5709848403930664,0.7407407407407407,0.038314176245210725,0.07285974499089252
0.5709824562072754,0.7142857142857143,0.038314176245210725,0.07272727272727272
0.5709415674209595,0.6896551724137931,0.038314176245210725,0.07259528130671505
0.5709372162818909,0.7,0.040229885057471264,0.07608695652173912
0.5709168314933777,0.7096774193548387,0.0421455938697318,0.07956600361663653
0.570914089679718,0.71875,0.044061302681992334,0.08303249097472923
0.5709006190299988,0.7272727272727273,0.04597701149425287,0.0864864864864865
0.5708578824996948,0.7352941176470589,0.04789272030651341,0.08992805755395684
0.5707706212997437,0.7142857142857143,0.04789272030651341,0.08976660682226213
0.5707334280014038,0.7222222222222222,0.04980842911877394,0.09318996415770608
0.5707230567932129,0.7027027027027027,0.04980842911877394,0.09302325581395349
0.5706831216812134,0.7105263157894737,0.05172413793103448,0.09642857142857142
0.570603609085083,0.6923076923076923,0.05172413793103448,0.0962566844919786
0.5704296827316284,0.675,0.05172413793103448,0.09608540925266904
0.5704260468482971,0.6829268292682927,0.05363984674329502,0.09946714031971582
0.5703954100608826,0.6666666666666666,0.05363984674329502,0.09929078014184398
0.5702972412109375,0.6744186046511628,0.05555555555555555,0.10265486725663715
0.5702791810035706,0.6818181818181818,0.05747126436781609,0.10600706713780918
0.57026606798172,0.6888888888888889,0.05938697318007663,0.109347442680776
0.570210874080658,0.6739130434782609,0.05938697318007663,0.10915492957746481
0.5701988339424133,0.6808510638297872,0.06130268199233716,0.1124780316344464
0.5701987743377686,0.6875,0.06321839080459771,0.11578947368421054
0.5701380968093872,0.6938775510204082,0.06513409961685823,0.11908931698774079
0.5701189637184143,0.7,0.06704980842911877,0.12237762237762237
0.570088803768158,0.6862745098039216,0.06704980842911877,0.12216404886561953
0.5700781941413879,0.6923076923076923,0.06896551724137931,0.1254355400696864
0.5700491070747375,0.6792452830188679,0.06896551724137931,0.1252173913043478
0.570004940032959,0.6666666666666666,0.06896551724137931,0.125
0.5699906945228577,0.6727272727272727,0.07088122605363985,0.12824956672443674
0.5699068903923035,0.6607142857142857,0.07088122605363985,0.12802768166089964
0.5699037909507751,0.6491228070175439,0.07088122605363985,0.12780656303972365
0.5699031949043274,0.6551724137931034,0.07279693486590039,0.1310344827586207
0.5698893070220947,0.6440677966101694,0.07279693486590039,0.13080895008605853
0.5698593854904175,0.6333333333333333,0.07279693486590039,0.13058419243986255
0.5697962641716003,0.639344262295082,0.07471264367816093,0.1337907375643225
0.5697494745254517,0.6290322580645161,0.07471264367816093,0.13356164383561644
0.5697213411331177,0.6190476190476191,0.07471264367816093,0.13333333333333336
0.5697104334831238,0.625,0.07662835249042145,0.136518771331058
0.569696843624115,0.6307692307692307,0.07854406130268199,0.13969335604770017
0.5696501135826111,0.6212121212121212,0.07854406130268199,0.13945578231292516
0.5696494579315186,0.6268656716417911,0.08045977011494253,0.1426146010186757
0.5696095824241638,0.6176470588235294,0.08045977011494253,0.1423728813559322
0.569589376449585,0.6231884057971014,0.08237547892720307,0.1455160744500846
0.569492518901825,0.6285714285714286,0.0842911877394636,0.14864864864864863
0.5694584250450134,0.6197183098591549,0.0842911877394636,0.14839797639123103
