threshold,tp,fp,fn,precision,recall,f1
0.9871146679,83,0,818,1.0000000000,0.0921198668,0.1686991870
0.9870981574,84,0,817,1.0000000000,0.0932297447,0.1705583756
0.9870787859,85,0,816,1.0000000000,0.0943396226,0.1724137931
0.9870620370,86,0,815,1.0000000000,0.0954495006,0.1742654509
0.9870519638,87,0,814,1.0000000000,0.0965593785,0.1761133603
0.9869881868,88,0,813,1.0000000000,0.0976692564,0.1779575329
0.9869677424,89,0,812,1.0000000000,0.0987791343,0.1797979798
0.9869585633,90,0,811,1.0000000000,0.0998890122,0.1816347124
0.9869582057,91,0,810,1.0000000000,0.1009988901,0.1834677419
0.9869390726,92,0,809,1.0000000000,0.1021087680,0.1852970796
0.9869306087,93,0,808,1.0000000000,0.1032186459,0.1871227364
0.9869204760,94,0,807,1.0000000000,0.1043285239,0.1889447236
0.9869197607,95,0,806,1.0000000000,0.1054384018,0.1907630522
0.9869009852,96,0,805,1.0000000000,0.1065482797,0.1925777332
0.9868971705,97,0,804,1.0000000000,0.1076581576,0.1943887776
0.9868790507,98,0,803,1.0000000000,0.1087680355,0.1961961962
0.9868577719,99,0,802,1.0000000000,0.1098779134,0.1980000000
0.9868511558,100,0,801,1.0000000000,0.1109877913,0.1998001998
0.9868270159,101,0,800,1.0000000000,0.1120976693,0.2015968064
0.9868171811,102,0,799,1.0000000000,0.1132075472,0.2033898305
0.9867686629,103,0,798,1.0000000000,0.1143174251,0.2051792829
0.9867542386,104,0,797,1.0000000000,0.1154273030,0.2069651741
0.9867357016,105,0,796,1.0000000000,0.1165371809,0.2087475149
0.9867240787,106,0,795,1.0000000000,0.1176470588,0.2105263158
0.9866950512,107,0,794,1.0000000000,0.1187569367,0.2123015873
0.9866804481,108,0,793,1.0000000000,0.1198668147,0.2140733399
0.9866635799,109,0,792,1.0000000000,0.1209766926,0.2158415842
0.9866567254,110,0,791,1.0000000000,0.1220865705,0.2176063304
0.9866551161,111,0,790,1.0000000000,0.1231964484,0.2193675889
0.9866466522,112,0,789,1.0000000000,0.1243063263,0.2211253702
0.9866346121,113,0,788,1.0000000000,0.1254162042,0.2228796844
0.9866296053,114,0,787,1.0000000000,0.1265260821,0.2246305419
0.9866108894,115,0,786,1.0000000000,0.1276359600,0.2263779528
0.9866058230,116,0,785,1.0000000000,0.1287458380,0.2281219272
0.9866047502,117,0,784,1.0000000000,0.1298557159,0.2298624754
0.9865989685,118,0,783,1.0000000000,0.1309655938,0.2315996075
0.9865927100,119,0,782,1.0000000000,0.1320754717,0.2333333333
0.9865736961,120,0,781,1.0000000000,0.1331853496,0.2350636631
0.9865556955,121,0,780,1.0000000000,0.1342952275,0.2367906067
0.9865508080,122,0,779,1.0000000000,0.1354051054,0.2385141740
0.9865368009,122,1,779,0.9918699187,0.1354051054,0.2382812500
0.9865324497,123,1,778,0.9919354839,0.1365149834,0.2400000000
0.9865145087,124,1,777,0.9920000000,0.1376248613,0.2417153996
0.9864971042,125,1,776,0.9920634921,0.1387347392,0.2434274586
0.9864740968,126,1,775,0.9921259843,0.1398446171,0.2451361868
0.9864563942,127,1,774,0.9921875000,0.1409544950,0.2468415938
0.9864300489,128,1,773,0.9922480620,0.1420643729,0.2485436893
0.9864280820,129,1,772,0.9923076923,0.1431742508,0.2502424830
0.9864055514,130,1,771,0.9923664122,0.1442841287,0.2519379845
0.9863830805,131,1,770,0.9924242424,0.1453940067,0.2536302033
0.9863785505,132,1,769,0.9924812030,0.1465038846,0.2553191489
0.9863751531,133,1,768,0.9925373134,0.1476137625,0.2570048309
0.9863706827,134,1,767,0.9925925926,0.1487236404,0.2586872587
0.9863654375,135,1,766,0.9926470588,0.1498335183,0.2603664417
0.9863622785,136,1,765,0.9927007299,0.1509433962,0.2620423892
0.9863479137,137,1,764,0.9927536232,0.1520532741,0.2637151107
0.9863120914,138,1,763,0.9928057554,0.1531631521,0.2653846154
0.9863101244,139,1,762,0.9928571429,0.1542730300,0.2670509126
0.9862900376,140,1,761,0.9929078014,0.1553829079,0.2687140115
0.9862748384,141,1,760,0.9929577465,0.1564927858,0.2703739214
0.9862598777,142,1,759,0.9930069930,0.1576026637,0.2720306513
0.9862577915,143,1,758,0.9930555556,0.1587125416,0.2736842105
0.9862489104,144,1,757,0.9931034483,0.1598224195,0.2753346080
0.9862416983,145,1,756,0.9931506849,0.1609322974,0.2769818529
0.9862027168,146,1,755,0.9931972789,0.1620421754,0.2786259542
0.9862011075,147,1,754,0.9932432432,0.1631520533,0.2802669209
0.9861904383,148,1,753,0.9932885906,0.1642619312,0.2819047619
0.9861852527,149,1,752,0.9933333333,0.1653718091,0.2835394862
0.9861830473,150,1,751,0.9933774834,0.1664816870,0.2851711027
0.9861750603,151,1,750,0.9934210526,0.1675915649,0.2867996201
0.9861496687,152,1,749,0.9934640523,0.1687014428,0.2884250474
0.9861477613,153,1,748,0.9935064935,0.1698113208,0.2900473934
0.9861438274,154,1,747,0.9935483871,0.1709211987,0.2916666667
0.9861360788,155,1,746,0.9935897436,0.1720310766,0.2932828761
0.9860965610,156,1,745,0.9936305732,0.1731409545,0.2948960302
0.9860894680,157,1,744,0.9936708861,0.1742508324,0.2965061379
0.9860795140,158,1,743,0.9937106918,0.1753607103,0.2981132075
0.9860710502,159,1,742,0.9937500000,0.1764705882,0.2997172479
0.9860683680,160,1,741,0.9937888199,0.1775804661,0.3013182674
0.9860600233,161,1,740,0.9938271605,0.1786903441,0.3029162747
0.9860284925,162,1,739,0.9938650307,0.1798002220,0.3045112782
0.9860203862,163,1,738,0.9939024390,0.1809100999,0.3061032864
0.9860077500,164,1,737,0.9939393939,0.1820199778,0.3076923077
0.9859982729,165,1,736,0.9939759036,0.1831298557,0.3092783505
0.9859846830,166,1,735,0.9940119760,0.1842397336,0.3108614232
0.9859836698,167,1,734,0.9940476190,0.1853496115,0.3124415341
0.9859781265,168,1,733,0.9940828402,0.1864594895,0.3140186916
0.9859640598,169,1,732,0.9941176471,0.1875693674,0.3155929038
0.9859480858,170,1,731,0.9941520468,0.1886792453,0.3171641791
0.9859365225,171,1,730,0.9941860465,0.1897891232,0.3187325256
0.9859148264,172,1,729,0.9942196532,0.1908990011,0.3202979516
0.9859139919,173,1,728,0.9942528736,0.1920088790,0.3218604651
0.9858961701,174,1,727,0.9942857143,0.1931187569,0.3234200743
0.9858895540,175,1,726,0.9943181818,0.1942286349,0.3249767874
0.9858704209,176,1,725,0.9943502825,0.1953385128,0.3265306122
0.9858555198,177,1,724,0.9943820225,0.1964483907,0.3280815570
0.9858126640,178,1,723,0.9944134078,0.1975582686,0.3296296296
0.9858120680,179,1,722,0.9944444444,0.1986681465,0.3311748381
0.9858104587,180,1,721,0.9944751381,0.1997780244,0.3327171904
0.9858040810,181,1,720,0.9945054945,0.2008879023,0.3342566944
0.9857827425,182,1,719,0.9945355191,0.2019977802,0.3357933579
0.9857736230,183,1,718,0.9945652174,0.2031076582,0.3373271889
0.9857674837,184,1,717,0.9945945946,0.2042175361,0.3388581952
0.9857602715,185,1,716,0.9946236559,0.2053274140,0.3403863845
0.9857451916,186,1,715,0.9946524064,0.2064372919,0.3419117647
0.9857448936,187,1,714,0.9946808511,0.2075471698,0.3434343434
0.9857395291,188,1,713,0.9947089947,0.2086570477,0.3449541284
0.9857347012,189,1,712,0.9947368421,0.2097669256,0.3464711274
0.9857189059,190,1,711,0.9947643979,0.2108768036,0.3479853480
0.9857031703,191,1,710,0.9947916667,0.2119866815,0.3494967978
0.9856925011,192,1,709,0.9948186528,0.2130965594,0.3510054845
0.9856518507,193,1,708,0.9948453608,0.2142064373,0.3525114155
0.9856429696,194,1,707,0.9948717949,0.2153163152,0.3540145985
0.9856415391,195,1,706,0.9948979592,0.2164261931,0.3555150410
0.9856292605,196,1,705,0.9949238579,0.2175360710,0.3570127505
0.9855835438,197,1,704,0.9949494949,0.2186459489,0.3585077343
0.9855654836,198,1,703,0.9949748744,0.2197558269,0.3600000000
0.9855481982,199,1,702,0.9950000000,0.2208657048,0.3614895550
0.9855473042,200,1,701,0.9950248756,0.2219755827,0.3629764065
0.9855439067,201,1,700,0.9950495050,0.2230854606,0.3644605621
0.9855432510,202,1,699,0.9950738916,0.2241953385,0.3659420290
0.9855265617,203,1,698,0.9950980392,0.2253052164,0.3674208145
0.9855107069,204,1,697,0.9951219512,0.2264150943,0.3688969259
0.9854913950,205,1,696,0.9951456311,0.2275249723,0.3703703704
0.9854815602,206,1,695,0.9951690821,0.2286348502,0.3718411552
0.9854778051,207,1,694,0.9951923077,0.2297447281,0.3733092876
0.9854450822,208,1,693,0.9952153110,0.2308546060,0.3747747748
