threshold,tp,fp,fn,precision,recall,f1
0.9766455889,498,395,333,0.5576707727,0.5992779783,0.5777262181
0.9766372442,498,396,333,0.5570469799,0.5992779783,0.5773913043
0.9765737057,498,397,333,0.5564245810,0.5992779783,0.5770567787
0.9765491486,498,398,333,0.5558035714,0.5992779783,0.5767226404
0.9765396118,498,399,333,0.5551839465,0.5992779783,0.5763888889
0.9765274525,498,400,333,0.5545657016,0.5992779783,0.5760555234
0.9765109420,498,401,333,0.5539488320,0.5992779783,0.5757225434
0.9765069485,499,401,332,0.5544444444,0.6004813478,0.5765453495
0.9765048027,499,402,332,0.5538290788,0.6004813478,0.5762124711
0.9764997959,499,403,332,0.5532150776,0.6004813478,0.5758799769
0.9764990211,500,403,331,0.5537098560,0.6016847172,0.5767012687
0.9764714241,501,403,330,0.5542035398,0.6028880866,0.5775216138
0.9764587879,501,404,330,0.5535911602,0.6028880866,0.5771889401
0.9764583111,501,405,330,0.5529801325,0.6028880866,0.5768566494
0.9763988853,502,405,329,0.5534729879,0.6040914561,0.5776754891
0.9763966203,503,405,328,0.5539647577,0.6052948255,0.5784933870
0.9763900042,503,406,328,0.5533553355,0.6052948255,0.5781609195
0.9763851166,504,406,327,0.5538461538,0.6064981949,0.5789775991
0.9763637781,504,407,327,0.5532381998,0.6064981949,0.5786452354
0.9763538837,504,408,327,0.5526315789,0.6064981949,0.5783132530
0.9763473868,504,409,327,0.5520262870,0.6064981949,0.5779816514
0.9762909412,505,409,326,0.5525164114,0.6077015644,0.5787965616
0.9762530923,506,409,325,0.5530054645,0.6089049338,0.5796105384
0.9762340188,506,410,325,0.5524017467,0.6089049338,0.5792787636
0.9762213826,507,410,324,0.5528898582,0.6101083032,0.5800915332
0.9762075543,508,410,323,0.5533769063,0.6113116727,0.5809033734
0.9761891365,508,411,323,0.5527747552,0.6113116727,0.5805714286
0.9761881232,508,412,323,0.5521739130,0.6113116727,0.5802398629
0.9761693478,508,413,323,0.5515743757,0.6113116727,0.5799086758
0.9761577845,509,413,322,0.5520607375,0.6125150421,0.5807187678
0.9761560559,510,413,321,0.5525460455,0.6137184116,0.5815279361
0.9761551619,510,414,321,0.5519480519,0.6137184116,0.5811965812
0.9761369824,510,415,321,0.5513513514,0.6137184116,0.5808656036
0.9761214256,511,415,320,0.5518358531,0.6149217810,0.5816733068
0.9761000872,512,415,319,0.5523193096,0.6161251504,0.5824800910
0.9760311246,513,415,318,0.5528017241,0.6173285199,0.5832859579
0.9760228395,514,415,317,0.5532831001,0.6185318893,0.5840909091
0.9760069251,514,416,317,0.5526881720,0.6185318893,0.5837592277
0.9759752750,515,416,316,0.5531686359,0.6197352587,0.5845629966
0.9759697318,516,416,315,0.5536480687,0.6209386282,0.5853658537
0.9759535789,517,416,314,0.5541264737,0.6221419976,0.5861678005
0.9759523273,517,417,314,0.5535331906,0.6221419976,0.5858356941
0.9758922458,517,418,314,0.5529411765,0.6221419976,0.5855039638
0.9758577347,517,419,314,0.5523504274,0.6221419976,0.5851726089
0.9758045077,518,419,313,0.5528281750,0.6233453670,0.5859728507
0.9758018851,519,419,312,0.5533049041,0.6245487365,0.5867721877
0.9757869244,520,419,311,0.5537806177,0.6257521059,0.5875706215
0.9757376909,521,419,310,0.5542553191,0.6269554753,0.5883681536
0.9757330418,522,419,309,0.5547290117,0.6281588448,0.5891647856
0.9757306576,523,419,308,0.5552016985,0.6293622142,0.5899605189
0.9757265449,524,419,307,0.5556733828,0.6305655836,0.5907553551
0.9757168889,524,420,307,0.5550847458,0.6305655836,0.5904225352
0.9757129550,525,420,306,0.5555555556,0.6317689531,0.5912162162
0.9756238461,526,420,305,0.5560253700,0.6329723225,0.5920090039
0.9756203294,526,421,305,0.5554382260,0.6329723225,0.5916760405
0.9755865335,527,421,304,0.5559071730,0.6341756919,0.5924676785
0.9755678177,528,421,303,0.5563751317,0.6353790614,0.5932584270
0.9755374193,529,421,302,0.5568421053,0.6365824308,0.5940482875
0.9755098224,530,421,301,0.5573080967,0.6377858002,0.5948372615
0.9755064249,531,421,300,0.5577731092,0.6389891697,0.5956253505
0.9754725099,531,422,300,0.5571878279,0.6389891697,0.5952914798
0.9754706025,532,422,299,0.5576519916,0.6401925391,0.5960784314
0.9754647017,532,423,299,0.5570680628,0.6401925391,0.5957446809
0.9754436016,532,424,299,0.5564853556,0.6401925391,0.5954113039
0.9754299521,533,424,298,0.5569487983,0.6413959085,0.5961968680
0.9754212499,534,424,297,0.5574112735,0.6425992780,0.5969815539
0.9754143357,535,424,296,0.5578727842,0.6438026474,0.5977653631
0.9753845930,536,424,295,0.5583333333,0.6450060168,0.5985482970
0.9753069282,537,424,294,0.5587929240,0.6462093863,0.5993303571
0.9753041863,537,425,294,0.5582120582,0.6462093863,0.5989960959
0.9752623439,538,425,293,0.5586708204,0.6474127557,0.5997770346
0.9752500057,538,426,293,0.5580912863,0.6474127557,0.5994428969
0.9752388597,539,426,292,0.5585492228,0.6486161252,0.6002227171
0.9752365947,539,427,292,0.5579710145,0.6486161252,0.5998887034
0.9752181172,539,428,292,0.5573940021,0.6486161252,0.5995550612
0.9752021432,539,429,292,0.5568181818,0.6486161252,0.5992217899
0.9751961231,540,429,291,0.5572755418,0.6498194946,0.6000000000
0.9751477242,540,430,291,0.5567010309,0.6498194946,0.5996668517
0.9751467109,540,431,291,0.5561277034,0.6498194946,0.5993340733
0.9751119018,541,431,290,0.5565843621,0.6510228640,0.6001109262
0.9750739336,542,431,289,0.5570400822,0.6522262335,0.6008869180
0.9750519395,543,431,288,0.5574948665,0.6534296029,0.6016620499
0.9749761224,543,432,288,0.5569230769,0.6534296029,0.6013289037
0.9749500751,544,432,287,0.5573770492,0.6546329723,0.6021029330
0.9749480486,544,433,287,0.5568065507,0.6546329723,0.6017699115
