threshold,tp,fp,fn,precision,recall,f1
0.9859345555,82,1,757,0.9879518072,0.0977353993,0.1778741866
0.9859336019,83,1,756,0.9880952381,0.0989272944,0.1798483207
0.9859257340,84,1,755,0.9882352941,0.1001191895,0.1818181818
0.9859228134,85,1,754,0.9883720930,0.1013110846,0.1837837838
0.9859078526,86,1,753,0.9885057471,0.1025029797,0.1857451404
0.9858983755,87,1,752,0.9886363636,0.1036948749,0.1877022654
0.9858828187,88,1,751,0.9887640449,0.1048867700,0.1896551724
0.9858642220,89,1,750,0.9888888889,0.1060786651,0.1916038751
0.9858568907,90,1,749,0.9890109890,0.1072705602,0.1935483871
0.9858497977,90,2,749,0.9782608696,0.1072705602,0.1933404941
0.9858410358,91,2,748,0.9784946237,0.1084624553,0.1952789700
0.9857886434,92,2,747,0.9787234043,0.1096543504,0.1972132905
0.9857420921,93,2,746,0.9789473684,0.1108462455,0.1991434690
0.9856467843,94,2,745,0.9791666667,0.1120381406,0.2010695187
0.9856363535,95,2,744,0.9793814433,0.1132300358,0.2029914530
0.9856331944,96,2,743,0.9795918367,0.1144219309,0.2049092850
0.9856255651,97,2,742,0.9797979798,0.1156138260,0.2068230277
0.9856034517,98,2,741,0.9800000000,0.1168057211,0.2087326944
0.9855993986,99,2,740,0.9801980198,0.1179976162,0.2106382979
0.9855739474,100,2,739,0.9803921569,0.1191895113,0.2125398512
0.9855474234,101,2,738,0.9805825243,0.1203814064,0.2144373673
0.9855347872,102,2,737,0.9807692308,0.1215733015,0.2163308590
0.9854835868,103,2,736,0.9809523810,0.1227651967,0.2182203390
0.9854678512,104,2,735,0.9811320755,0.1239570918,0.2201058201
0.9854594469,105,2,734,0.9813084112,0.1251489869,0.2219873150
0.9854491353,106,2,733,0.9814814815,0.1263408820,0.2238648363
0.9854440093,107,2,732,0.9816513761,0.1275327771,0.2257383966
0.9854264259,108,2,731,0.9818181818,0.1287246722,0.2276080084
0.9854257107,109,2,730,0.9819819820,0.1299165673,0.2294736842
0.9853894114,110,2,729,0.9821428571,0.1311084625,0.2313354364
0.9853618145,111,2,728,0.9823008850,0.1323003576,0.2331932773
0.9853435755,112,2,727,0.9824561404,0.1334922527,0.2350472193
0.9853215814,113,2,726,0.9826086957,0.1346841478,0.2368972746
0.9852907658,114,2,725,0.9827586207,0.1358760429,0.2387434555
0.9852780700,115,2,724,0.9829059829,0.1370679380,0.2405857741
0.9852769971,116,2,723,0.9830508475,0.1382598331,0.2424242424
0.9852684140,117,2,722,0.9831932773,0.1394517282,0.2442588727
0.9852504134,118,2,721,0.9833333333,0.1406436234,0.2460896767
0.9852334857,119,2,720,0.9834710744,0.1418355185,0.2479166667
0.9852037430,120,2,719,0.9836065574,0.1430274136,0.2497398543
0.9851898551,121,2,718,0.9837398374,0.1442193087,0.2515592516
0.9851862788,121,3,718,0.9758064516,0.1442193087,0.2512980270
